Team,Wk 1,Wk 2,Wk 3,Wk 4,Wk 5,Wk 6,Wk 7,Wk 8,Wk 9,Wk 10,Wk 11,Wk 12,Wk 13,Wk 14,Wk 15,Wk 16,Wk 17,Wk 18
ARI,at WSH,NYG,DAL,at SF,CIN,at LAR,at SEA,BAL,at CLE,ATL,at HOU,LAR,at PIT,BYE,SF,at CHI,at PHI,SEA
ATL,CAR,GB,at DET,at JAX,HOU,WSH,at TB,at TEN,MIN,at ARI,BYE,NO,at NYJ,TB,at CAR,IND,at CHI,at NO
BAL,HOU,at CIN,IND,at CLE,at PIT,at TEN,DET,at ARI,SEA,CLE,CIN,at LAC,BYE,LAR,at JAX,at SF,MIA,PIT
BUF,at NYJ,LV,at WSH,MIA,JAX,NYG,at NE,TB,at CIN,DEN,NYJ,at PHI,BYE,at KC,DAL,at LAC,NE,at MIA
CAR,at ATL,NO,at SEA,MIN,at DET,at MIA,BYE,HOU,IND,at CHI,DAL,at TEN,at TB,at NO,ATL,GB,at JAX,TB
CHI,GB,at TB,at KC,DEN,at WSH,MIN,LV,at LAC,at NO,CAR,at DET,at MIN,BYE,DET,at CLE,ARI,ATL,at GB
CIN,at CLE,BAL,LAR,at TEN,at ARI,SEA,BYE,at SF,BUF,HOU,at BAL,PIT,at JAX,IND,MIN,at PIT,at KC,CLE
CLE,CIN,at PIT,TEN,BAL,BYE,SF,at IND,at SEA,ARI,at BAL,PIT,at DEN,at LAR,JAX,CHI,at HOU,NYJ,at CIN
DAL,at NYG,NYJ,at ARI,NE,at SF,at LAC,BYE,LAR,at PHI,NYG,at CAR,WSH,SEA,PHI,at BUF,at MIA,DET,at WSH
DEN,LV,WSH,at MIA,at CHI,NYJ,at KC,GB,KC,BYE,at BUF,MIN,CLE,at HOU,at LAC,at DET,NE,LAC,at LV
DET,at KC,SEA,ATL,at GB,CAR,at TB,at BAL,LV,BYE,at LAC,CHI,GB,at NO,at CHI,DEN,at MIN,at DAL,MIN
GB,at CHI,at ATL,NO,DET,at LV,BYE,at DEN,MIN,LAR,at PIT,LAC,at DET,KC,at NYG,TB,at CAR,at MIN,CHI
HOU,at BAL,IND,at JAX,PIT,at ATL,NO,BYE,at CAR,TB,at CIN,ARI,JAX,DEN,at NYJ,at TEN,CLE,TEN,at IND
IND,JAX,at HOU,at BAL,LAR,TEN,at JAX,CLE,NO,at CAR,at NE,BYE,TB,at TEN,at CIN,PIT,at ATL,LV,HOU
JAX,at IND,KC,HOU,ATL,at BUF,IND,at NO,at PIT,BYE,SF,TEN,at HOU,CIN,at CLE,BAL,at TB,CAR,at TEN
KC,DET,at JAX,CHI,at NYJ,at MIN,DEN,LAC,at DEN,MIA,BYE,PHI,at LV,at GB,BUF,at NE,LV,CIN,at LAC
LV,at DEN,at BUF,PIT,at LAC,GB,NE,at CHI,at DET,NYG,NYJ,at MIA,KC,BYE,MIN,LAC,at KC,at IND,DEN
LAR,at SEA,SF,at CIN,at IND,PHI,ARI,PIT,at DAL,at GB,BYE,SEA,at ARI,CLE,at BAL,WSH,NO,at NYG,at SF
LAC,MIA,at TEN,at MIN,LV,BYE,DAL,at KC,CHI,at NYJ,DET,at GB,BAL,at NE,DEN,at LV,BUF,at DEN,KC
MIA,at LAC,at NE,DEN,at BUF,NYG,CAR,at PHI,NE,at KC,BYE,LV,at NYJ,at WSH,TEN,NYJ,DAL,at BAL,BUF
MIN,TB,at PHI,LAC,at CAR,KC,at CHI,SF,at GB,at ATL,NO,at DEN,CHI,BYE,at LV,at CIN,DET,GB,at DET
NE,PHI,MIA,at NYJ,at DAL,NO,at LV,BUF,at MIA,WSH,IND,BYE,at NYG,LAC,at PIT,KC,at DEN,at BUF,NYJ
NO,TEN,at CAR,at GB,TB,at NE,at HOU,JAX,at IND,CHI,at MIN,BYE,at ATL,DET,CAR,NYG,at LAR,at TB,ATL
NYG,DAL,at ARI,at SF,SEA,at MIA,at BUF,WSH,NYJ,at LV,at DAL,at WSH,NE,BYE,GB,at NO,at PHI,LAR,PHI
NYJ,BUF,at DAL,NE,KC,at DEN,PHI,BYE,at NYG,LAC,at LV,at BUF,MIA,ATL,HOU,at MIA,WSH,at CLE,at NE
PHI,at NE,MIN,at TB,WSH,at LAR,at NYJ,MIA,at WSH,DAL,BYE,at KC,BUF,SF,at DAL,at SEA,NYG,ARI,at NYG
PIT,SF,CLE,at LV,at HOU,BAL,BYE,at LAR,JAX,TEN,GB,at CLE,at CIN,ARI,NE,at IND,CIN,at SEA,at BAL
SF,at PIT,at LAR,NYG,ARI,DAL,at CLE,at MIN,CIN,BYE,at JAX,TB,at SEA,at PHI,SEA,at ARI,BAL,at WSH,LAR
SEA,LAR,at DET,CAR,at NYG,BYE,at CIN,ARI,CLE,at BAL,WSH,at LAR,SF,at DAL,at SF,PHI,at TEN,PIT,at ARI
TB,at MIN,CHI,PHI,at NO,BYE,DET,ATL,at BUF,at HOU,TEN,at SF,at IND,CAR,at ATL,at GB,JAX,NO,at CAR
TEN,at NO,LAC,at CLE,CIN,at IND,BAL,BYE,ATL,at PIT,at TB,at JAX,CAR,IND,at MIA,HOU,SEA,at HOU,JAX
WSH,ARI,at DEN,BUF,at PHI,CHI,at ATL,at NYG,PHI,at NE,at SEA,NYG,at DAL,MIA,BYE,at LAR,at NYJ,SF,DAL
